title,url
Many hard LeetCode problems are easy constraint problems,https://buttondown.com/hillelwayne/archive/many-hard-leetcode-problems-are-easy-constraint/
The treasury is expanding the Patriot Act to attack Bitcoin self custody,https://www.tftc.io/treasury-iexpanding-patriot-act/
3D modeling with paper,https://www.arvinpoddar.com/blog/3d-modeling-with-paper
Advanced Scheme Techniques (2004) [pdf],https://people.csail.mit.edu//jhbrown/scheme/continuationslides04.pdf
Vector database that can index 1B vectors in 48M,https://www.vectroid.com/blog/why-and-how-we-built-Vectroid
Windows-Use: an AI agent that interacts with Windows at GUI layer,https://github.com/CursorTouch/Windows-Use
Qwen3-Next,https://qwen.ai/blog?id=4074cca80393150c248e508aa62983f9cb7d27cd&from=research.latest-advancements-list
"Doom-ada: Doom Emacs Ada language module with syntax, LSP and Alire support",https://github.com/tomekw/doom-ada
Oq: Terminal OpenAPI Spec Viewer,https://github.com/plutov/oq
A beginner's guide to extending Emacs,https://blog.tjll.net/a-beginners-guide-to-extending-emacs/
Humanely Dealing with Humungus Crawlers,https://flak.tedunangst.com/post/humanely-dealing-with-humungus-crawlers
"Show HN: DWS OS, a Plan 9 Inspired Web ""OS""",https://dws.rip
Building a Deep Research Agent Using MCP-Agent,https://thealliance.ai/blog/building-a-deep-research-agent-using-mcp-agent
Racintosh Plus â€“ Rackmount Mac Plus,http://www.identity4.com/2025-racintosh-plus/
VaultGemma: The most capable differentially private LLM,https://research.google/blog/vaultgemma-the-worlds-most-capable-differentially-private-llm/
Chat Control faces blocking minority in the EU,https://twitter.com/TutaPrivacy/status/1966384776883142661
OpenAI Grove,https://openai.com/index/openai-grove/
Show HN: An MCP Gateway to block the lethal trifecta,https://github.com/Edison-Watch/open-edison
Why our website looks like an operating system,https://posthog.com/blog/why-os
Float Exposed,https://float.exposed/
